source,dataset_id,table_title,variable,theme,label,definition,unit,decimals,period,source_detail,geography,nonempty_rows,nonempty_amsterdam_rows
RIVM Beweegvriendelijke omgeving,50143NED,Beweegvriendelijke omgeving per wijk en buurt; 2024,Gemeentenaam_1,Regioaanduiding,Gemeentenaam,De naam van de bestuurlijke gemeente. Deze naam volgt de officiële schrijfwijze,naam,0,2024,"Diverse bronnen, Mulier Instituut",buurt/wijk/gemeente,18310,628
RIVM Beweegvriendelijke omgeving,50143NED,Beweegvriendelijke omgeving per wijk en buurt; 2024,SoortRegio_2,Regioaanduiding,Soort regio,"De gekozen regioaanduiding betreft: Gemeente, Wijk of Buurt.",omschrijving,0,2024,"Diverse bronnen, Mulier Instituut",buurt/wijk/gemeente,18310,628
RIVM Beweegvriendelijke omgeving,50143NED,Beweegvriendelijke omgeving per wijk en buurt; 2024,Codering_3,Regioaanduiding,Codering,"Gemeentecode heeft 4 posities, voorafgegaan door ""GM"". 

Wijkcode heeft 6 posities: gemeentecode (4) + wijkcode (2), voorafgegaan door ""WK"". 

Buurtcode heeft 8 posities: gemeentecode (4) + wijkcode (2) + buurtcode (2), voorafgegaan door ""BU"".",code,0,2024,"Diverse bronnen, Mulier Instituut",buurt/wijk/gemeente,18310,628
RIVM Beweegvriendelijke omgeving,50143NED,Beweegvriendelijke omgeving per wijk en buurt; 2024,BeweegvriendelijkeOmgeving_4,,Beweegvriendelijke omgeving,"Beweegvriendelijke omgeving geeft de score van de openbare ruimte op de mogelijkheid voor mensen om te sporten en te bewegen. De veronderstelling is dat een meer beweegvriendelijke omgeving bijdraagt aan meer sporten en bewegen.

De totaalscore is het gemiddelde van de scores op de deelindicatoren. Hoe hoger de score, hoe meer mensen een goede bereikbaarheid, nabijheid of diversiteit van een deelindicator hebben.
",score,0,2024,"Diverse bronnen, Mulier Instituut",buurt/wijk/gemeente,17726,598
RIVM Beweegvriendelijke omgeving,50143NED,Beweegvriendelijke omgeving per wijk en buurt; 2024,RecreatiefGroenEnBlauw_5,Deelindicatoren,Recreatief groen en blauw,"De deelindicator recreatief groen en blauw brengt de nabijheid en het oppervlakte van recreatief groen en blauw (water) in kaart. 
Binnen een straal van 300 meter om een CBS-vierkant wordt het oppervlak groen en blauw berekend Hierbij wordt alleen groen en blauw meegenomen dat bereikbaar is via een weg die te voet of met de fiets toegankelijk is. Een vierkant krijgt op basis daarvan een aantal punten:

0 – 2 hectare recreatief groen en/of blauw = 0 punten
2 – 4 hectare recreatief groen en/of blauw =  1 punt
4 – 7 hectare recreatief groen en/of blauw =  2 punten
7 – 10,5 hectare recreatief groen en/of blauw =  3 punten
meer dan 10,5 hectare recreatief groen en/of blauw =  4 punten

Op buurt, gemeente en landelijk niveau wordt het percentage van de punten die behaald kunnen worden, gewogen naar inwonersaantal, de score van de deelindicator.",score,0,2024,"Diverse bronnen, Mulier Instituut",buurt/wijk/gemeente,17726,598
RIVM Beweegvriendelijke omgeving,50143NED,Beweegvriendelijke omgeving per wijk en buurt; 2024,SportEnSpeelplekken_6,Deelindicatoren,Sport- en speelplekken ,"De deelindicator sport- en speelplekken brengt de nabijheid van sport- en speelplekken in kaart. 

Hiervoor wordt nagegaan welke CBS-vierkanten een sport- of speelplek binnen maximaal 400 meter hebben. Voor deze berekening wordt gebruik gemaakt van wegen die te voet of met de fiets toegankelijk zijn. Op buurt, gemeente of landelijk niveau wordt het percentage vierkanten dat aan deze eis voldoet, gewogen naar inwonersaantal, gerapporteerd. Bij deze deelindicator is het van belang dat de gegevens over speelplekken momenteel niet landsdekkend en uniform worden geregistreerd in de Basisregistratie Grootschalige Topografie (BGT). De verwachting is dat dit in de toekomst wel het geval zal zijn. Gezien het belang van sport- en speelplekken en de verwachting dat de onderliggende data in de nabije toekomst zal verbeteren, is deze deelindicator ondanks de beperkingen van de onderliggende gegevens, al opgenomen in de kernindicator Beweegvriendelijke Omgeving. In 2024 is de data uit de BGT aangevuld met openbare data over sport- en speelplekken van OpenStreetMap.

Enkele gemeenten hebben een score van ‘0’ op deze indicator. In deze gemeenten heeft een heel klein deel van de inwoners wel een speelplek binnen 400 meter, maar ligt die in een aangrenzende gemeente. Wanneer we de gemiddelde score voor die gemeenten berekenen, wordt het afgerond ‘0’.",score,0,2024,"Diverse bronnen, Mulier Instituut",buurt/wijk/gemeente,17726,598
RIVM Beweegvriendelijke omgeving,50143NED,Beweegvriendelijke omgeving per wijk en buurt; 2024,Sportaccommodaties_7,Deelindicatoren,Sportaccommodaties ,"De deelindicator sportaccommodaties brengt de nabijheid en diversiteit van de meest gebruikte sportaccommodaties (voetbalvelden, hockeyvelden, tennisbanen, sporthallen, fitnessvoorzieningen en zwembaden) in kaart. 

Voor elk type sportaccommodatie is een afstand bereikbaar met de fiets of te voet berekend die als “verzorgingsgebied” geldt. Zo is het verzorgingsgebied van fitnessaccommodaties 1.400 meter en van een zwembad 2.300 meter. Als de afstand tot de dichtstbijzijnde accommodatie groter is dan 150% van die afstand krijgt het CBS-vierkant een score van 0, als de afstand binnen 150% valt krijgt het vierkant score van 1, als het binnen de afstand valt een score van 2, en binnen 50% van de afstand een score van 3 punten. Zo krijgt het CBS-vierkant voor elk van de vijf typen accommodaties een score, die maximaal 15 punten bedraagt. Het percentage van het aantal behaalde punten betreft de score voor dat CBS-vierkant. Deze percentages worden vervolgens, gewogen naar het aantal inwoners per CBS-vierkant, geaggregeerd naar buurt, gemeente of landelijk niveau.",score,0,2024,"Diverse bronnen, Mulier Instituut",buurt/wijk/gemeente,17726,598
RIVM Beweegvriendelijke omgeving,50143NED,Beweegvriendelijke omgeving per wijk en buurt; 2024,NabijheidVanVoorzieningen_8,Deelindicatoren,Nabijheid van voorzieningen,"De deelindicator nabijheid van voorzieningens brengt de nabijheid en diversiteit van voorzieningen voor algemeen dagelijks gebruik in kaart. Hierbij zijn meegenomen: huisarts, apotheek, supermarkt, overige levensmiddelenwinkels, kinderdagverblijf, buitenschoolse opvang, basisschool en middelbare school, trein, lokale OV-halte (bus, tram en metro), restaurant en museum.

Voor elk type voorziening is een afstand berekend die als “verzorgingsgebied” geldt. Als de afstand tot de dichtstbijzijnde voorziening groter is dan 150% van die afstand krijgt het CBS-vierkant een score van 0, als de afstand binnen 150% valt krijgt het vierkant score van 1, als het binnen de afstand valt een score van 2, en binnen 50% van de afstand een score van 3 punten. Zo krijgt het CBS-vierkant voor elk van de typen voorzieningen een score. Het percentage behaalde punten van de punten die behaald kunnen worden betreft de score voor dat CBS-vierkant. Deze percentages worden vervolgens, gewogen naar het aantal inwoners per CBS-vierkant, geaggregeerd naar buurt, gemeente of landelijk niveau.",score,0,2024,"Diverse bronnen, Mulier Instituut",buurt/wijk/gemeente,17726,598
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),Gemeentenaam_1,Regioaanduiding,Gemeentenaam,De naam van de bestuurlijke gemeente. Deze naam volgt de officiële schrijfwijze,naam,0,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,91550,3140
RIVM Gezondheid wijk/buurt,50150NED,Gezondheid per wijk en buurt; 2012/2016/2020/2022/2024 (indeling 2024),SoortRegio_2,Regioaanduiding,Soort regio,"De gekozen regioaanduiding betreft: Gemeente, Wijk of Buurt.",omschrijving,0,"2012, 2016, 2020, 2022, 2024","Gezondheidsmonitor Volwassenen en Ouderen 2012/2016/2020/2022/2024, GGD'en/CBS/RIVM (bewerking o.b.v. SMAP-methodiek, RIVM)",buurt/wijk/gemeente,91550,3140
