bronhouder,bron,onderwerp,gebiedsniveau,status,reden_of_selectie,licentie_of_voorwaarden,bron_url
RIVM,"Beweegvriendelijke omgeving 50143NED","recreatief groen en blauw, sportaccommodaties, speelplekken, nabijheid voorzieningen","gemeente; wijk; buurt",opgenomen,"landelijke totaal- en deelscores op geschikt gebiedsniveau","CC BY 4.0",https://data.overheid.nl/dataset/c4910fc1-263e-40d6-948b-acc80d885848
RIVM,"Gezondheid per wijk en buurt 50150NED","gezondheid, welzijn, leefstijl, mentale gezondheid, omgeving","gemeente; wijk; buurt",opgenomen,"landelijk vergelijkbare klein-gebiedsschattingen; 18+ centrale schatting gedownload","CC BY 4.0",https://data.overheid.nl/dataset/70128-gezondheid-per-wijk-en-buurt--2012-2016-2020-2022-2024--indeling-2024-
RIVM,"Regiobeeld wijk en buurt 50149NED","zorgkosten, patiënten, zorgsectoren, SES","gemeente; wijk; buurt",opgenomen,"Vektis-afgeleide zorgdata op geschikt gebiedsniveau","CC BY 4.0",https://dataderden.cbs.nl/ODataApi/OData/50149NED
CBS,"SES-WOA 86296NED","sociaal-economische status en componenten","gemeente; wijk; buurt",opgenomen,"verklarende context met tijdreeks en onzekerheidsinformatie","CC BY 4.0",https://www.cbs.nl/nl-nl/cijfers/detail/86296NED
CBS,"Nabijheid voorzieningen 86270NED","zorg, onderwijs, winkels, groen, sport, OV, cultuur","gemeente; wijk; buurt",opgenomen,"direct bruikbaar voor toegankelijkheid en locatiekeuze","CC BY 4.0",https://www.cbs.nl/nl-nl/cijfers/detail/86270NED
CBS,"Gebruik voorzieningen sociaal domein 85994NED","Wmo, Jeugdwet en Participatiewet","gemeente; wijk",opgenomen,"daadwerkelijk gebruik en stapeling van ondersteuning; 2024 definitief","CC BY 4.0",https://www.cbs.nl/nl-nl/cijfers/detail/85994NED
CBS,"Wmo-cliënten naar type 86158NED","Wmo-maatwerkvoorzieningen","gemeente; wijk",opgenomen,"directe relevantie voor ondersteuningsaanbod; 2025 voorlopig","CC BY 4.0",https://www.cbs.nl/nl-nl/cijfers/detail/86158NED
CBS,"Jeugdzorg in natura 86204NED","jeugdzorg, leeftijd, huishouden, verwijzer","land; gemeente; wijk",opgenomen,"directe relevantie jeugd en gezin; 2025 voorlopig","CC BY 4.0",https://www.cbs.nl/nl-nl/cijfers/detail/86204NED
Amsterdam O&S,"Basisbestand Gebieden Amsterdam (BBGA)","brede lokale kerncijfers en prognoses","stadsdeel; gebied; wijk; buurt en andere Amsterdamse niveaus",opgenomen,"918 lokaal gedocumenteerde variabelen; CSV, metadata en XLSX gedownload","actuele gemeentelijke voorwaarden voor herpublicatie controleren",https://onderzoek.amsterdam.nl/dataset/basisbestand-gebieden-amsterdam-bbga
BZK,"Leefbaarometer 3.0 meting 2024","leefbaarheid en vijf dimensies","gemeente; wijk; buurt",opgenomen,"buurt- en wijkreeks plus ontwikkeling; context voor voorzieningkeuze",CC0,https://www.leefbaarometer.nl/page/Opendata
GGD Amsterdam,"Gezondheid in Beeld","gezondheid en welzijn van Amsterdammers en Amstellanders","meerdere lokale niveaus; afhankelijk van indicator","alleen_documentatie","relevante data maar geen stabiele gedocumenteerde bulkdownload vastgesteld; handleiding opgenomen","CC0 volgens data.overheid-registratie; per export hercontroleren",https://ggdgezondheidinbeeld.nl/mosaic/
Nivel,"Nivel Zorgregistraties Eerste Lijn","huisartsenzorg en eerstelijnszorg","gedetailleerd niveau op aanvraag",niet_opgenomen,"geen open bulkbestand op wijk/buurt; aanvraag en voorwaarden nodig","dataverzoek en gebruiksvoorwaarden",https://www.nivel.nl/nl/panels-en-registraties/nivel-zorgregistraties-eerste-lijn
Vektis,"Open databestanden Zorgverzekeringswet","zorgkosten en verzekerden","gemeente; postcode-3",alleen_documentatie,"rechtstreekse bestanden voldoen niet aan minimaal CBS-wijkniveau; bijsluiter opgenomen","beperkte Vektis-gebruiksvoorwaarden",https://www.vektis.nl/open-data
Vektis,"Gemeentezorgspiegel - Wmo-publicatie","Wmo-cliënten naar maatwerkarrangement en leeftijd","land; VNG/ZN-regio; gemeente; wijk; buurt",opgenomen,"vier publieke Excelbestanden met 2019-2024; buurtdata en officiële toelichting gedownload","publieke download; copyright en herpublicatievoorwaarden met Vektis afstemmen",https://www.vektis.nl/gemeentezorgspiegel/data
RIVM/GGD/CBS,"Onderliggende Gezondheidsmonitor-data","gezondheid en leefstijl","variabel; detaildata op aanvraag",niet_opgenomen,"open klein-gebiedsschattingen 50150NED hebben voorrang; geen microdata in publieke tool","dataverzoek en privacyvoorwaarden",https://www.monitorgezondheid.nl/
Atlas Leefomgeving,"Kaartlagen milieu en gezondheid","lucht, geluid, hitte, groen, milieugezondheid","raster; kaartlaag; soms gebied",kandidaat,"vereist aparte GIS-aggregatie naar wijk/buurt en weging","voorwaarden verschillen per laag",https://www.atlasleefomgeving.nl/
Nationaal Georegister,"Geodatasets van overheden","omgeving, voorzieningen, grenzen","raster; vector; WFS/WMS",kandidaat,"vindplaats voor tweede GIS-fase; niet standaard als wijk/buurttabel",verschilt_per_dataset,https://www.nationaalgeoregister.nl/
VNG Realisatie,"Waarstaatjegemeente","gemeentelijke en wijkindicatoren",variabel,niet_gedupliceerd,"veel indicatoren zijn herpublicaties van CBS/RIVM/gemeenten; primaire bron gekozen","volg primaire bron",https://waarstaatjegemeente.nl/
Zorginstituut Nederland,"Zorgcijfers en analyses","zorggebruik, kwaliteit en kosten","meestal instelling; landelijk; gemeente",niet_opgenomen,"geen aanvullende stabiele buurt/wijk-bulkset gevonden die niet al via RIVM/CBS is afgedekt","verschilt per dataset",https://www.zorginstituutnederland.nl/financiering/onderzoek-en-analyse
Zorginstituut Nederland,"GIP open data","farmacie en hulpmiddelen","landelijk; leeftijd; geslacht",niet_opgenomen,"inhoudelijk relevant maar niet op wijk- of buurtniveau","voorwaarden Zorgcijfersdatabank",https://www.zorgcijfersdatabank.nl/algemeen/open-data-gip
RIVM/GGD GHOR,"Gezondheidsmonitor Jeugd en Jongvolwassenen","mentale en fysieke gezondheid, welzijn, leefstijl","landelijk; GGD-regio; lokaal via aanvraag",kandidaat,"zeer relevant voor jeugd maar geen vrije landelijke bulkset op wijk/buurt vastgesteld","publiek domein of dataverzoek; per product controleren",https://www.rivm.nl/gezondheidsmonitors/data-aanvraag
